Name,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mount Isa,-20.7333,139.5,100.4,23,75,4.61,AU,1611120708
Hermanus,-34.4187,19.2345,68.0,67,63,5.99,ZA,1611120741
Butaritari,3.0707,172.7902,80.29,81,99,19.84,KI,1611120742
Vaini,-21.2,-175.2,84.2,74,75,6.91,TO,1611120744
Bambous Virieux,-20.3428,57.7575,86.0,79,75,8.05,MU,1611120745
Ixtapa,20.7,-105.2,70.0,88,100,2.19,MX,1611120746
Champerico,14.3,-91.9167,64.99,95,0,2.93,GT,1611120747
Atuona,-9.8,-139.0333,78.13,73,6,11.07,PF,1611120748
Dikson,73.5069,80.5464,-20.38,89,100,7.49,RU,1611120750
Taseyevo,57.2169,94.8978,-11.34,85,90,7.58,RU,1611120753
Clyde River,70.4692,-68.5914,5.0,85,90,14.97,CA,1611120754
Thinadhoo,0.5333,72.9333,81.01,67,0,5.48,MV,1611120757
Albany,42.6001,-73.9662,30.0,74,75,3.91,US,1611120758
Chui,-33.6971,-53.4616,61.02,86,0,3.18,UY,1611120760
Acapulco de Juárez,16.8634,-99.8901,77.49,66,95,2.91,MX,1611120742
Boa Vista,2.8197,-60.6733,75.2,78,0,5.75,BR,1611120762
Punta Arenas,-53.15,-70.9167,55.4,71,75,9.22,CL,1611120763
Longyearbyen,78.2186,15.6401,19.4,63,20,19.57,SJ,1611120764
Saint Paul Harbor,57.79,-152.4072,39.2,87,90,10.36,US,1611120767
Barra de Tecoanapa,16.5167,-98.75,75.79,81,82,2.84,MX,1611120769
Havelock,34.8791,-76.9013,52.0,76,1,10.36,US,1611120707
Richards Bay,-28.783,32.0377,76.53,83,71,18.1,ZA,1611120772
Dalby,-27.1833,151.2667,89.01,35,17,4.0,AU,1611120773
Sola,-13.8833,167.55,84.16,66,91,3.8,VU,1611120774
Mataura,-46.1927,168.8643,47.8,95,100,3.76,NZ,1611120775
Vokhtoga,58.8147,41.0461,7.74,95,93,5.21,RU,1611120776
Saint George,37.1041,-113.5841,48.99,31,90,8.05,US,1611120631
Mareeba,-17.0,145.4333,79.0,89,75,4.61,AU,1611120778
Saint-Pierre,-21.3393,55.4781,89.01,66,0,6.91,RE,1611120779
Nishihara,26.1842,127.7558,71.6,49,75,14.97,JP,1611120781
Rikitea,-23.1203,-134.9692,79.07,76,0,16.53,PF,1611120783
Tabou,4.423,-7.3528,78.01,84,53,5.86,CI,1611120784
Los Llanos de Aridane,28.6585,-17.9182,62.6,67,90,5.75,ES,1611120785
Grand Island,40.925,-98.342,28.99,68,1,9.22,US,1611120786
Ushuaia,-54.8,-68.3,59.0,55,40,16.11,AR,1611120763
Busselton,-33.65,115.3333,87.01,54,0,5.99,AU,1611120789
Coquimbo,-29.9533,-71.3436,59.0,88,0,2.3,CL,1611120790
Svetlaya,46.5389,138.3297,11.93,76,0,4.29,RU,1611120791
Ribeira Grande,38.5167,-28.7,61.29,80,67,19.75,PT,1611120792
Hobart,-42.8794,147.3294,75.0,55,20,18.41,AU,1611120691
Cape Town,-33.9258,18.4232,66.99,63,0,11.5,ZA,1611120725
Salalah,17.0151,54.0924,73.4,31,0,3.62,OM,1611120613
Barrow,71.2906,-156.7887,-4.0,77,90,13.8,US,1611120798
Tiznit Province,29.5833,-9.5,50.99,44,17,3.09,MA,1611120799
Christchurch,-43.5333,172.6333,66.0,31,58,19.57,NZ,1611120604
Alofi,-19.0595,-169.9187,82.4,83,86,2.3,NU,1611120803
Aketi,2.7388,23.7833,75.87,51,3,2.33,CD,1611120805
Novy Urengoy,66.0833,76.6333,-29.09,86,45,3.02,RU,1611120807
Saskylakh,71.9167,114.0833,-34.28,81,100,5.66,RU,1611120808
Winsum,53.33,6.5208,45.0,93,100,5.99,NL,1611120809
Ntcheu,-14.8203,34.6359,70.34,93,100,0.74,MW,1611120810
Šabac,44.7467,19.69,37.99,65,0,10.36,RS,1611120811
Port Alfred,-33.5906,26.891,71.01,87,1,1.01,ZA,1611120813
Mazara del Vallo,37.6641,12.588,46.4,93,0,9.22,IT,1611120814
Severo-Kuril'sk,50.6789,156.125,13.19,84,86,16.46,RU,1611120815
Inuvik,68.3499,-133.7218,1.4,85,99,4.61,CA,1611120548
Abonnema,4.7084,6.7931,71.6,100,40,0.31,NG,1611120818
Bluff,-46.6,168.3333,50.92,88,100,11.25,NZ,1611120819
Southbridge,42.0751,-72.0334,28.99,68,33,6.44,US,1611120820
Hilo,19.7297,-155.09,71.6,83,40,4.61,US,1611120667
Talnakh,69.4865,88.3972,-29.43,83,100,1.63,RU,1611120822
Vostok,46.4856,135.8833,1.58,84,17,2.46,RU,1611120824
Qaanaaq,77.484,-69.3632,9.73,77,100,6.44,GL,1611120825
Saint-Philippe,-21.3585,55.7679,89.01,66,0,6.91,RE,1611120826
Alakurtti,66.9672,30.3491,3.88,93,3,5.17,RU,1611120829
Hamilton,39.1834,-84.5333,39.2,60,90,14.97,US,1611120584
Altus,34.6381,-99.334,37.0,75,40,3.44,US,1611120831
San Quintín,30.4833,-115.95,63.39,66,81,20.22,MX,1611120834
Zeerust,-25.5369,26.0751,68.0,77,0,3.44,ZA,1611120835
Avarua,-21.2078,-159.775,77.0,94,100,4.61,CK,1611120837
